Komentar,Jumlah Like
Halo p,0
Halo p,0
si atta ngeselin woi  oh ya btw grafik nya bagus bgt kak,0
aku sudah nonton pas hari selasa😅😅😅 sedih banget film nya 😭😭😭😭😭,0
Akhirnya ada animasi tanpa agenda LGBT,0
Sedih banget kartu ya ❤🎉😊,0
Ini pantas buat film anak anak mengajarkan byk hal seperti gak boleh ngeledek org lain dan lain lain 😊❤❤,0
WOWWW,0
DON JUMBO,0
OKEEEE,0
besok aku mau nonton jumbo di bioskop,0
Kasian numbo😢,0
Maksud saya kisahnya agak sedih 😢,1
Kisahnya agak susah dih sih😢,1
Jumbo😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,0
😢😢😢😢😢😢😢😢😢😢😢😢,0
Absolute cinema !,0
Semoga film ini menjadi dasar munculnya para animator2 terbaik bangsa !! Terima Kasih para animator !!!,0
Nonton trailer nya aja mau nangis,0
😢😢,0
Upin ipin versi indpnesia,0
Aku juga pernah nonton di bioskop,0
Ak setiap hari nonton terus bagus filmnya,0
Mirip Ipin Upin di karakter tertentu.,0
Harapanku dari kecil terwujud <br>Akhirnya indonesia punya karya animasi keren,0
Congrats ya jadi Film dengan jumlah penonton terbanyak 2025❤❤❤,0
Sedih banget sumpah 😭😭😭😭😭,0
😭🤣🤣😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,0
Sebagus itu emang. Aku nonton dan ngerasa anak bisa paham amanatnya sambil banyak tanya ini-itu karena penasaran. Anak umur 26 tahun juga seneng bisa notis detil2 kecil😂<br><br>Film yang nggak condescending ataupun dumb itself down buat audiensnya. Nggak menggurui/menceramahi tapi ada banyak pesan bagus. And the soundtrack is amazing too😭❤️,1
"untuk anak2 kita anak indonesia,trus berkarya",0
"Iya njir wkwk, w liat trailer jumbo di tiktok komennya pada ngebandingin ama yg udah terkenal, bahkan ada yg melenceng ke Vina 7 hari 🗿",0
"Sumpah gue pikir ini garapan filem anime Hollywood sekelas nya Pixar atau Disney,ternyata ini produksi dalam negeri,salut dan bangga dgn kualitas anime nya udh gak diragukan LG pasti bisa go internasional ga cuma Asia!!! Teruslah berkarya kita dukung dgn menonton hasil dr karya kalian yg amezing ❤❤❤",0
Orang Indonesia pintar2 tapi pemerintah nya aja gak peduli,0
Bagus flim jumbo aku kasih nilai 100🎉🎉,0
RELEASED DI MALAAYSIAAAA KAPANNNNNN,1
"Disini kenapa orang suka dengan cerita tentang suka sekali dengan arwah (suka sekali yang berbau horror), saya harap lebih cerita petualangan tanpa cerita ada arwah. Saya tau penonton Indonesia selalu suka sekali berbau horror.",0
Sumpah inih pilem jumbo bagusss banget sampe netizen suka bagus aku sampe nangisliat pilem  nya 🎉🎉,0
please ini alur ceritanya udah baguss tapi....ya gimn yh,0
"Gw lebih suka animasi gini dari segi bicaranya bahasa indonesia casual dan slangs gk kaku di kuping, di tambah penggambaran ras di sini cuma dari segi tampilan karakter aja, gk kyk animasi buatan indo ynag lain bikin karakter beserta logat daerah yang kental, bukanya gk bangga sm indonesia yang punya berbagai macam bahasa, tapi sekelas animasi karakter ngomong indo + logat daerah tertentu sangat mengganggu telinga.",0
Waktu nonton ini terharu banget😢😢😢😢😢😢😢😢,0
Dontol,0
Tylendia to popular ama&#39;s Anton.❤😊🎉,0
Filmnya bagus,0
Harapan untuk animasi indonesia smakin besar. Smoga smakin bermunculan film animasi kualitas sperti Jumbo bahkan lebih. Aamiin.,0
Giliran udah booming dan berhasil eh permerintah baru bilang &quot;mengapresiasi&quot; 😂 bikin malu aja,1
Absolute Cinema ✋😌✋,0
Kartun Ter lucu,0
😢😭,0
Jumbo.  Aku.   Udah.     Makan.    Es.  Krim.   Pendekpop.   Loh,0
Hai aku bakal pentas nari dengan teman teman,0
Ayooo semoga segera ada di netflix :( kami yang di luar negeri juga ingin nonton :(,0
Filem ini favorit kuuuu😊,0
"Terima kasih JUMBO<br>Sudah mengembalikan masa kecilku<br>Dimana anak-anak kalau ngumpul ya main. Kasti, bola dll. <br>Semoga animasi negeri kita semakin maju.",1
KITA TIDAK BUTUH PEMERINTAH UNTUK BERSATU🔥🔥🔥🔥🔥,0
😭🥹,0
Meri beraksi marah,0
Keren nih film nya,0
MALAYDESH IRI HATI DENGAN JUMBO 😅😅😅😅😅,0
😢😭 aku nonton nya sedih bgt😢😢😭😭🥀,0
😢 sedih banget,0
Jumbo😁😁,0
bagus filmnya,0
Kamu selalu sama mama,0
GENNGG JUMBOO!!!🔥🔥,0
Jumbo kasihan di ejek temennya,0
😢😢😢😢,0
Nama asli Jumbo adalah Kenta 😅,0
🥺🥺🥺🥺😭😭😭,0
❤,0
"Film Jumbo tanda kebangkitan film animasi berkualitas, digarap sangat serius dan dapat diterima masyarakat Indonesia &amp; International. Semoga setelah kesuksesan raup 6 juta penonton setelah tayang 3 pekan, kesuksesannya terus berlanjut &amp; lebih spektakuler. Maju terus Film Animasi Indonesia😊",0
Keren karya anak anak bangsa ini.....lahir ditengah tengah ketidak pedulian pejabat&quot; kita,0
Baru nonton trailernya aja nangis 😭,0
Yeee aaaa produk dalam negeri keren....,0
Sedih banget 😭😭😭😭😭,0
👏👏👏👏,1
Tolong tampil kan di tv biar kami bisa nonton,0
Norak,0
Tahniah Indonesia! Jumbo mengatasi animasi dr Malaysia dlm carta terlaris. Moga makin byk animasi dr Indo selepas ni. Sama2 mewarnai dunia kanak2 dlm diri kita.,1
6jt + penonton,0
Aku sudah nonton,0
Aku udah pernah nonton film jumbo di bioskop,0
"<a href=""https://www.youtube.com/watch?v=yMqDgbZmBdk&amp;t=36"">0:36</a> <a href=""https://www.youtube.com/watch?v=yMqDgbZmBdk&amp;t=36"">0:36</a> <a href=""https://www.youtube.com/watch?v=yMqDgbZmBdk&amp;t=36"">0:36</a> <a href=""https://www.youtube.com/watch?v=yMqDgbZmBdk&amp;t=36"">0:36</a> <a href=""https://www.youtube.com/watch?v=yMqDgbZmBdk&amp;t=37"">0:37</a> <a href=""https://www.youtube.com/watch?v=yMqDgbZmBdk&amp;t=37"">0:37</a> <a href=""https://www.youtube.com/watch?v=yMqDgbZmBdk&amp;t=37"">0:37</a> <a href=""https://www.youtube.com/watch?v=yMqDgbZmBdk&amp;t=37"">0:37</a> <a href=""https://www.youtube.com/watch?v=yMqDgbZmBdk&amp;t=38"">0:38</a> <a href=""https://www.youtube.com/watch?v=yMqDgbZmBdk&amp;t=38"">0:38</a> <a href=""https://www.youtube.com/watch?v=yMqDgbZmBdk&amp;t=38"">0:38</a> <a href=""https://www.youtube.com/watch?v=yMqDgbZmBdk&amp;t=38"">0:38</a> <a href=""https://www.youtube.com/watch?v=yMqDgbZmBdk&amp;t=39"">0:39</a> <a href=""https://www.youtube.com/watch?v=yMqDgbZmBdk&amp;t=39"">0:39</a>",0
"<a href=""https://www.youtube.com/watch?v=yMqDgbZmBdk&amp;t=32"">0:32</a>",1
Jumbo lucu banget😊,1
Yg paling unbelievable adalah suara si kambing adalah suara ciko jerikho. Keren si ni film,0
Keren filmnya<br>Up up<br>Semoga tembus 12 juta penonton ya,1
Wajib nonton nih...,0
"AI ???.... OPO ikuu.?! 😅<br>Dimana-mana, Originalitas itu ga bo&#39;ong. Opo onok&#39;e. Ra digawe-gawe.<br>Gitu aja kok repot... 😄",1
Karya anak bangsa mesti kita apresiasi ❤,0
"jujur, awalnya gue gak tertarik nonton karna gue pikir animasi disney. ternyata karya anak bangsa. ih keren bgt😭",0
"mnurut pndapat sya dri segi animasinya bagus, ceritanya menarik.. hanya kurang enak untuk script2nya..",0
😅,0
Aku sampai nangis liat film ini 😭😭,1
Ga kalah sama disney nih 🔥🔥🔥🔥🔥,0
Arga  Atu   jelek,0
Nama   Aku   Arga,0
"Uuuuuh... Keren, Amazing. . 🎉",0
Entar ke ramayana tambun ya tanggal 27 entar kita foto bareng ya😍😍,0
Sebagus apapun AI tetap bukan sebuah karya original dengan hati.<br><br>Tetap semangat para kreator karena dengan hati kita bisa menciptakan rasa hangat untuk semua.,0
Keren banget JUMBOO!! Animasinya  oke dan cantik banget detailnyaa❤,1
indonesia maju,0
Aku pernah nonton di bioskop kak itu 1 jam loh aku nggak bisa nonton tapi dingin di dalam bioskop tuh kok aku masih bingung itu kok ada itu itu itu itu itu itu itu itu apa dah apa-apa dah itu itu lupa lupa lupa lupa lupa lupa lupa lupa lupa lupa lupa lupa lupa lupa lupa lupa lupa lupa lupa lupa lupa lupa lupa kok orangnya itu kok ada yang anuin makannya itu tapi kan apa pakai kuota ya walikota gitu,0
